#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	known_domains
#open	2019-02-15-16-26-46
#fields	ts	domain
#types	time	string
1550266479.071302	wpad.mshome.net
1550266479.071358	www.msftncsi.com
1550266479.071562	www.google.co.uk
1550266479.071568	apis.google.com
1550266479.077381	d426aa35-wmjjkojpnswzxhqn-c2r-ds.metric.gstatic.com
1550266479.077494	wolfgangssteakhouse.co.kr
1550266479.077568	fonts.googleapis.com
1550266479.077731	ts.daumcdn.net
1550266479.080102	inhye01.itpr.co.kr
1550266479.082857	bnureb0up683ppcbgt1fz9g.isbul.info
1550266479.085998	zz1lb82z00y16gdow25fcxm.ilaclama.us
1550266479.086258	f9wb0396aobdotyzddcwdtf.ilaclama.us
1550266479.399054	7fcbfe94f3976187b644ca1e1bf8c826d85e3db6.malware.hash.cymru.com
1550266479.583364	go.microsoft.com
1550266479.583670	ieonline.microsoft.com
1550266479.585269	clients1.google.co.uk
1550266479.586079	legacylifespaces.com
1550266479.586151	mpzfprxfdn.serveftp.com
1550266479.589169	go2.microsoft.com
1550266479.589195	download.microsoft.com
1550266479.589247	rs.update.microsoft.com
1550266479.589304	fpdownload2.macromedia.com
1550266479.596779	c3847838.ivps9x.u.avast.com
1550266479.596782	update.avg.com
1550266479.596790	download.avg.com
1550266479.596792	av.download.avg.com
1550266479.596802	backup.avg.cz
1550266479.596820	professional.avira-update.com
1550266479.596832	premium.avira-update.com
1550266479.596841	peak.avira-update.com
1550266479.596848	upgrade.bitdefender.com
1550266479.596853	update.eset.com
1550266479.596858	dlarray-europ-pool-1.gdatasecurity.de
1550266479.596861	dlarray-europ-pool-2.gdatasecurity.de
1550266479.596870	dlarray-norda-pool-1.gdatasecurity.de
1550266479.596875	dnl-00.geo.kaspersky.com
1550266479.596879	dnl-01.geo.kaspersky.com
1550266479.596883	dnl-02.geo.kaspersky.com
1550266479.598198	dnl-03.geo.kaspersky.com
1550266479.604320	v2.zopim.com
1550266479.609397	ie10.zopim.com
1550266479.616677	cdn.zopim.com
