#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-09-16-05-00-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1568624414.005504	CS1c9t2kWjYeewNTig	10.12.19.102	49230	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005528	CUbH3xQNAgtkZK9ed	10.12.19.102	49231	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005537	CC5GAwaIGrFDTe2El	10.12.19.102	49232	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005544	CIYVOH3xDei06ZSvfg	10.12.19.102	49233	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005554	CZ5zyz22QocjPDhsah	10.12.19.102	49234	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005571	CtjZad1tHpQ1ebEhBi	10.12.19.102	49235	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005582	CUNjWo2z7F4SXf0GF5	10.12.19.102	49236	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005778	CFYgKF4mpdyUCUyMpj	10.12.19.102	49237	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005789	Ce40NK1Ek7qy4AEU9e	10.12.19.102	49238	185.130.212.105	443	active_connection_reuse	-	F	zeek
1568624414.005802	C3LH4ojrz1W4QUfn6	10.12.19.102	49239	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005843	C7skPR3wvBleDzDzDd	10.12.19.102	49240	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.006037	CJCWQd1nwfp1p8tXi8	10.12.19.102	49241	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.006051	Cm84WS1fltYy1HLLKl	10.12.19.102	49242	185.130.212.105	443	active_connection_reuse	-	F	zeek
1568624414.006066	ChPtwm2kqVTiSIOLZ8	10.12.19.102	49243	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.006227	CwprGrpocvWbdnAxe	10.12.19.102	49244	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.006237	CIyK4u1Mkep2L2F7fl	10.12.19.102	49245	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.006254	CPTjGv0kvyOiZQpCb	10.12.19.102	49246	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.006265	ClO57o2OAYOIr1NhYl	10.12.19.102	49247	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.006289	CO6g9PAIlWPlbzS67	10.12.19.102	49248	193.33.133.88	80	premature_connection_reuse	-	F	zeek
